age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,age_x_age,age_x_fnlwgt,age_x_education_num,age_x_capital_gain,age_x_capital_loss,age_x_hours_per_week,fnlwgt_x_fnlwgt,fnlwgt_x_education_num,fnlwgt_x_capital_gain,fnlwgt_x_capital_loss,fnlwgt_x_hours_per_week,education_num_x_education_num,education_num_x_capital_gain,education_num_x_capital_loss,education_num_x_hours_per_week,capital_gain_x_capital_gain,capital_gain_x_capital_loss,capital_gain_x_hours_per_week,capital_loss_x_capital_loss,capital_loss_x_hours_per_week,hours_per_week_x_hours_per_week,marital_status_statistics,male,female
34,Self-emp-not-inc,140011,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,>50K,1156,4760374,510,0,0,1870,-1871756359,2100165,0,0,7700605,225,0,0,825,0,0,0,0,0,3025,,,
43,Private,271807,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,1849,11687701,430,0,0,1720,864601217,2718070,0,0,10872280,100,0,0,400,0,0,0,0,0,1600,Divorced,10.82,15.09
49,Private,185041,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,United-States,>50K,2401,9067009,686,0,96873,1960,-119566687,2590574,0,365826057,7401640,196,0,27678,560,0,0,0,3908529,79080,1600,,,
41,Private,352834,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,55,United-States,>50K,1681,14466194,533,315208,0,2255,-62220028,4586842,-1582379504,0,19405870,169,99944,0,715,59105344,0,422840,0,0,3025,,,
33,Self-emp-not-inc,67482,Assoc-voc,11,Divorced,Other-service,Unmarried,White,Female,0,0,99,United-States,<=50K,1089,2226906,363,0,0,3267,258853028,742302,0,0,6680718,121,0,0,1089,0,0,0,0,0,9801,Divorced,10.82,15.09
41,?,254630,Assoc-voc,11,Divorced,?,Not-in-family,White,Male,0,0,80,United-States,<=50K,1681,10439830,451,0,0,3280,411927460,2800930,0,0,20370400,121,0,0,880,0,0,0,0,0,6400,Divorced,10.82,15.09
43,Private,388849,Assoc-acdm,12,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,60,United-States,<=50K,1849,16720507,516,0,0,2580,879689441,4666188,0,0,23330940,144,0,0,720,0,0,0,0,0,3600,,,
30,Private,398827,HS-grad,9,Married-AF-spouse,Adm-clerical,Husband,White,Male,0,0,60,United-States,<=50K,900,11964810,270,0,0,1800,149185977,3589443,0,0,23929620,81,0,0,540,0,0,0,0,0,3600,Married-AF-spouse,67.54,68.33
31,Private,218322,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,30,United-States,<=50K,961,6767982,310,0,0,930,419855428,2183220,0,0,6549660,100,0,0,300,0,0,0,0,0,900,Never-married,47.35,41.81
48,Local-gov,187969,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,0,80,United-States,<=50K,2304,9022512,672,0,0,3840,972606593,2631566,0,0,15037520,196,0,0,1120,0,0,0,0,0,6400,Divorced,10.82,15.09
41,Private,112507,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,<=50K,1681,4612787,246,0,0,2460,-227076839,675042,0,0,6750420,36,0,0,360,0,0,0,0,0,3600,,,
41,Private,163258,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,<=50K,1681,6693578,533,0,0,1640,883370788,2122354,0,0,6530320,169,0,0,520,0,0,0,0,0,1600,Never-married,47.35,41.81
32,Private,326283,Bachelors,13,Never-married,Other-service,Unmarried,Other,Male,0,0,40,United-States,<=50K,1024,10441056,416,0,0,1280,-913586311,4241679,0,0,13051320,169,0,0,520,0,0,0,0,0,1600,Never-married,47.35,41.81
43,Private,154538,Assoc-acdm,12,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,1849,6645134,516,0,0,1720,-1887810332,1854456,0,0,6181520,144,0,0,480,0,0,0,0,0,1600,Divorced,10.82,15.09
41,Private,179533,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,35,United-States,<=50K,1681,7360853,369,0,0,1435,-2127640279,1615797,0,0,6283655,81,0,0,315,0,0,0,0,0,1225,,,
48,Private,166809,Bachelors,13,Married-spouse-absent,Exec-managerial,Not-in-family,White,Female,0,0,50,United-States,>50K,2304,8006832,624,0,0,2400,2055438705,2168517,0,0,8340450,169,0,0,650,0,0,0,0,0,2500,,,
33,Private,223212,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K,1089,7365996,297,0,0,1320,-1716010608,2008908,0,0,8928480,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
35,Private,181020,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,60,United-States,<=50K,1225,6335700,315,0,0,2100,-1591497968,1629180,0,0,10861200,81,0,0,540,0,0,0,0,0,3600,Never-married,47.35,41.81
43,Private,254146,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1902,40,United-States,>50K,1849,10928278,430,0,81786,1720,165679876,2541460,0,483385692,10165840,100,0,19020,400,0,0,0,3617604,76080,1600,,,
32,Private,447066,Bachelors,13,Married-civ-spouse,Sales,Husband,Black,Male,15024,0,50,United-States,>50K,1024,14306112,416,480768,0,1600,-1995454556,5811858,-1873215008,0,22353300,169,195312,0,650,225720576,0,751200,0,0,2500,,,
30,Self-emp-not-inc,31510,Assoc-acdm,12,Divorced,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K,900,945300,360,0,0,1500,992880100,378120,0,0,1575500,144,0,0,600,0,0,0,0,0,2500,Divorced,10.82,15.09
36,Self-emp-inc,242080,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,80,United-States,>50K,1296,8714880,540,0,0,2880,-1526815744,3631200,0,0,19366400,225,0,0,1200,0,0,0,0,0,6400,,,
31,Self-emp-not-inc,119411,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Male,0,0,60,United-States,>50K,961,3701741,403,0,0,1860,1374085033,1552343,0,0,7164660,169,0,0,780,0,0,0,0,0,3600,Divorced,10.82,15.09
46,Private,63299,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,50,United-States,<=50K,2116,2911754,414,0,0,2300,-288203895,569691,0,0,3164950,81,0,0,450,0,0,0,0,0,2500,,,
50,Local-gov,168672,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,40,United-States,>50K,2500,8433600,700,0,95100,2000,-1614527488,2361408,0,320814144,6746880,196,0,26628,560,0,0,0,3617604,76080,1600,,,
30,Private,101345,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,3103,0,55,United-States,>50K,900,3040350,390,93090,0,1650,1680874433,1317485,314473535,0,5573975,169,40339,0,715,9628609,0,170665,0,0,3025,,,
30,Private,117963,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K,900,3538890,390,0,0,1200,1030367481,1533519,0,0,4718520,169,0,0,520,0,0,0,0,0,1600,,,
36,Private,336595,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,1296,12117420,324,0,0,1800,1627044329,3029355,0,0,16829750,81,0,0,450,0,0,0,0,0,2500,,,
36,Private,163278,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K,1296,5878008,504,0,0,1440,889901508,2285892,0,0,6531120,196,0,0,560,0,0,0,0,0,1600,Never-married,47.35,41.81
30,Private,296509,7th-8th,4,Separated,Farming-fishing,Not-in-family,White,Male,0,0,45,Mexico,<=50K,900,8895270,120,0,0,1350,2018241161,1186036,0,0,13342905,16,0,0,180,0,0,0,0,0,2025,,,
34,Private,137814,Some-college,10,Separated,Sales,Not-in-family,White,Male,0,0,45,United-States,<=50K,1156,4685676,340,0,0,1530,1812829412,1378140,0,0,6201630,100,0,0,450,0,0,0,0,0,2025,,,
42,Private,173704,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,1887,50,United-States,>50K,1764,7295568,420,0,79254,2100,108308544,1737040,0,327779448,8685200,100,0,18870,500,0,0,0,3560769,94350,2500,,,
42,Private,211450,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,>50K,1764,8880900,588,0,0,1890,1761429540,2960300,0,0,9515250,196,0,0,630,0,0,0,0,0,2025,Never-married,47.35,41.81
40,Private,275446,HS-grad,9,Never-married,Sales,Own-child,Black,Male,0,0,40,United-States,<=50K,1600,11017840,360,0,0,1600,-1438912412,2479014,0,0,11017840,81,0,0,360,0,0,0,0,0,1600,Never-married,47.35,41.81
49,Private,180899,Masters,14,Divorced,Exec-managerial,Unmarried,White,Male,0,1755,45,United-States,>50K,2401,8864051,686,0,85995,2205,-1635290167,2532586,0,317477745,8140455,196,0,24570,630,0,0,0,3080025,78975,2025,Divorced,10.82,15.09
39,Self-emp-inc,172538,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K,1521,6728982,507,0,0,1950,-295409628,2242994,0,0,8626900,169,0,0,650,0,0,0,0,0,2500,,,
46,Private,110171,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,40,United-States,>50K,2116,5067866,460,353648,0,1840,-747252647,1101710,846994648,0,4406840,100,76880,0,400,59105344,0,307520,0,0,1600,,,
42,Private,373469,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,1764,15685698,378,0,0,1680,2040140489,3361221,0,0,14938760,81,0,0,360,0,0,0,0,0,1600,,,
33,Private,279524,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K,1089,9224292,297,0,0,1320,824255248,2515716,0,0,11180960,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
35,Private,190728,HS-grad,9,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K,1225,6675480,315,0,0,1400,2017431616,1716552,0,0,7629120,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
44,Federal-gov,184099,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K,1936,8100356,396,0,0,1760,-467296567,1656891,0,0,7363960,81,0,0,360,0,0,0,0,0,1600,,,
34,Private,113838,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,>50K,1156,3870492,340,0,0,1530,74188356,1138380,0,0,5122710,100,0,0,450,0,0,0,0,0,2025,,,
40,?,341539,Some-college,10,Divorced,?,Not-in-family,White,Female,0,0,30,United-States,<=50K,1600,13661560,400,0,0,1200,684771529,3415390,0,0,10246170,100,0,0,300,0,0,0,0,0,900,Divorced,10.82,15.09
44,Self-emp-not-inc,325159,Some-college,10,Divorced,Farming-fishing,Unmarried,White,Male,0,0,40,United-States,<=50K,1936,14306996,440,0,0,1760,-1645807119,3251590,0,0,13006360,100,0,0,400,0,0,0,0,0,1600,Divorced,10.82,15.09
36,Private,423711,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,<=50K,1296,15253596,324,0,0,1620,-857614911,3813399,0,0,19066995,81,0,0,405,0,0,0,0,0,2025,,,
41,Private,207578,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,50,India,>50K,1681,8510698,492,0,0,2050,138953124,2490936,0,0,10378900,144,0,0,600,0,0,0,0,0,2500,,,
50,Private,175339,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,>50K,2500,8766950,450,0,0,2000,678993849,1578051,0,0,7013560,81,0,0,360,0,0,0,0,0,1600,,,
33,Private,143653,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,30,United-States,<=50K,1089,4740549,297,0,0,990,-838652071,1292877,0,0,4309590,81,0,0,270,0,0,0,0,0,900,,,
35,Private,160120,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,50,United-States,>50K,1225,5604200,490,0,0,1750,-131389376,2241680,0,0,8006000,196,0,0,700,0,0,0,0,0,2500,,,
36,Self-emp-not-inc,180686,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K,1296,6504696,540,0,0,1800,-1712307772,2710290,0,0,9034300,225,0,0,750,0,0,0,0,0,2500,,,
41,Self-emp-not-inc,49572,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K,1681,2032452,410,0,0,2460,-1837584112,495720,0,0,2974320,100,0,0,600,0,0,0,0,0,3600,,,
33,Private,163392,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,0,0,48,United-States,>50K,1089,5391936,297,0,0,1584,927141888,1470528,0,0,7842816,81,0,0,432,0,0,0,0,0,2304,,,
37,Self-emp-not-inc,187411,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,?,<=50K,1369,6934207,481,0,0,1850,763144553,2436343,0,0,9370550,169,0,0,650,0,0,0,0,0,2500,,,
40,Private,55508,7th-8th,4,Divorced,Farming-fishing,Unmarried,White,Female,0,0,40,United-States,<=50K,1600,2220320,160,0,0,1600,-1213829232,222032,0,0,2220320,16,0,0,160,0,0,0,0,0,1600,Divorced,10.82,15.09
46,Private,265105,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K,2116,12194830,598,0,0,2300,1561184289,3446365,0,0,13255250,169,0,0,650,0,0,0,0,0,2500,,,
41,Self-emp-inc,299813,9th,5,Married-civ-spouse,Sales,Wife,White,Female,0,0,70,Dominican-Republic,<=50K,1681,12292333,205,0,0,2870,-306478247,1499065,0,0,20986910,25,0,0,350,0,0,0,0,0,4900,,,
40,Private,116632,Bachelors,13,Divorced,Sales,Own-child,White,Male,0,0,80,United-States,<=50K,1600,4665280,520,0,0,3200,718121536,1516216,0,0,9330560,169,0,0,1040,0,0,0,0,0,6400,Divorced,10.82,15.09
36,Private,172538,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,52,United-States,>50K,1296,6211368,324,0,0,1872,-295409628,1552842,0,0,8971976,81,0,0,468,0,0,0,0,0,2704,,,
50,Self-emp-not-inc,57758,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,>50K,2500,2887900,550,0,0,3000,-958980732,635338,0,0,3465480,121,0,0,660,0,0,0,0,0,3600,,,
43,Private,69758,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K,1849,2999594,516,0,0,1720,571211268,837096,0,0,2790320,144,0,0,480,0,0,0,0,0,1600,,,
43,Private,388725,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K,1849,16715175,516,0,0,1720,783270265,4664700,0,0,15549000,144,0,0,480,0,0,0,0,0,1600,,,
39,Local-gov,183620,Some-college,10,Never-married,Protective-serv,Not-in-family,Black,Female,0,0,40,United-States,>50K,1521,7161180,390,0,0,1560,-643433968,1836200,0,0,7344800,100,0,0,400,0,0,0,0,0,1600,Never-married,47.35,41.81
44,State-gov,87282,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,0,38,United-States,<=50K,1936,3840408,572,0,0,1672,-971787068,1134666,0,0,3316716,169,0,0,494,0,0,0,0,0,1444,Never-married,47.35,41.81
33,Private,111985,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,58,United-States,<=50K,1089,3695505,330,0,0,1914,-344261663,1119850,0,0,6495130,100,0,0,580,0,0,0,0,0,3364,,,
46,Self-emp-inc,219962,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,7298,0,40,?,>50K,2116,10118252,598,335708,0,1840,1138641188,2859506,1605282676,0,8798480,169,94874,0,520,53260804,0,291920,0,0,1600,,,
35,Private,282461,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,<=50K,1225,9886135,315,0,0,1750,-1820162103,2542149,0,0,14123050,81,0,0,450,0,0,0,0,0,2500,,,
32,Private,152940,Assoc-acdm,12,Never-married,Adm-clerical,Own-child,White,Male,0,0,30,United-States,<=50K,1024,4894080,384,0,0,960,1915807120,1835280,0,0,4588200,144,0,0,360,0,0,0,0,0,900,Never-married,47.35,41.81
44,State-gov,183829,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,38,United-States,<=50K,1936,8088476,572,0,0,1672,-566637127,2389777,0,0,6985502,169,0,0,494,0,0,0,0,0,1444,Never-married,47.35,41.81
49,Federal-gov,420282,Some-college,10,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K,2401,20593818,490,0,0,1960,543300388,4202820,0,0,16811280,100,0,0,400,0,0,0,0,0,1600,Never-married,47.35,41.81
36,Private,393673,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,50,United-States,>50K,1296,14172228,432,0,0,1800,359608273,4724076,0,0,19683650,144,0,0,600,0,0,0,0,0,2500,,,
47,Private,329144,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,48,United-States,>50K,2209,15469768,470,0,0,2256,961590336,3291440,0,0,15798912,100,0,0,480,0,0,0,0,0,2304,Divorced,10.82,15.09
49,Self-emp-not-inc,275845,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K,2401,13516405,490,0,0,2940,-1218947303,2758450,0,0,16550700,100,0,0,600,0,0,0,0,0,3600,,,
46,Private,263568,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,2116,12124128,414,0,0,1840,748613888,2372112,0,0,10542720,81,0,0,360,0,0,0,0,0,1600,,,
48,Private,39986,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K,2304,1919328,432,0,0,1920,1598880196,359874,0,0,1599440,81,0,0,360,0,0,0,0,0,1600,Never-married,47.35,41.81
37,Private,188377,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Black,Male,0,0,40,United-States,<=50K,1369,6969949,333,0,0,1480,1126155761,1695393,0,0,7535080,81,0,0,360,0,0,0,0,0,1600,Never-married,47.35,41.81
40,?,70645,Some-college,10,Married-civ-spouse,?,Wife,White,Female,0,0,20,United-States,<=50K,1600,2825800,400,0,0,800,695748729,706450,0,0,1412900,100,0,0,200,0,0,0,0,0,400,,,
36,Self-emp-inc,164866,Assoc-acdm,12,Separated,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K,1296,5935176,432,0,0,1800,1410994180,1978392,0,0,8243300,144,0,0,600,0,0,0,0,0,2500,,,
39,Local-gov,301614,11th,7,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K,1521,11762946,273,0,0,1560,776691780,2111298,0,0,12064560,49,0,0,280,0,0,0,0,0,1600,,,
40,Self-emp-inc,193524,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,>50K,1600,7740960,400,0,0,1600,-1203167088,1935240,0,0,7740960,100,0,0,400,0,0,0,0,0,1600,,,
42,Private,363591,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K,1764,15270822,378,0,0,1680,-945570895,3272319,0,0,14543640,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
37,Private,161141,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Portugal,>50K,1369,5962217,407,0,0,1480,196618105,1772551,0,0,6445640,121,0,0,440,0,0,0,0,0,1600,,,
32,Private,235109,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K,1024,7523488,320,0,0,1280,-558332967,2351090,0,0,9404360,100,0,0,400,0,0,0,0,0,1600,Divorced,10.82,15.09
43,Private,112494,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,45,United-States,<=50K,1849,4837242,387,0,0,1935,-230001852,1012446,0,0,5062230,81,0,0,405,0,0,0,0,0,2025,Divorced,10.82,15.09
36,Private,226013,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,5178,0,40,United-States,>50K,1296,8136468,324,186408,0,1440,-457731383,2034117,1170295314,0,9040520,81,46602,0,360,26811684,0,207120,0,0,1600,,,
46,Private,173243,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,5178,0,40,United-States,>50K,2116,7969178,460,238188,0,1840,-51634023,1732430,897052254,0,6929720,100,51780,0,400,26811684,0,207120,0,0,1600,,,
44,Private,63042,Bachelors,13,Divorced,Exec-managerial,Own-child,White,Female,0,0,50,United-States,>50K,1936,2773848,572,0,0,2200,-320673532,819546,0,0,3152100,169,0,0,650,0,0,0,0,0,2500,Divorced,10.82,15.09
36,Private,369843,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,50,United-States,<=50K,1296,13314348,324,0,0,1800,-655108823,3328587,0,0,18492150,81,0,0,450,0,0,0,0,0,2500,,,
47,Private,374580,HS-grad,9,Separated,Sales,Not-in-family,White,Female,0,0,52,United-States,<=50K,2209,17605260,423,0,0,2444,-1423744368,3371220,0,0,19478160,81,0,0,468,0,0,0,0,0,2704,,,
46,Private,188861,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,2116,8687606,460,0,0,1840,1308738953,1888610,0,0,7554440,100,0,0,400,0,0,0,0,0,1600,,,
45,Private,295046,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,>50K,2025,13277070,405,0,0,2700,1152796196,2655414,0,0,17702760,81,0,0,540,0,0,0,0,0,3600,,,
31,Private,148600,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,<=50K,961,4606600,279,0,0,1240,607123520,1337400,0,0,5944000,81,0,0,360,0,0,0,0,0,1600,,,
45,Private,44489,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,<=50K,2025,2002005,405,0,0,2025,1979271121,400401,0,0,2002005,81,0,0,405,0,0,0,0,0,2025,,,
37,Private,272950,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,1369,10099150,333,0,0,1480,1487258468,2456550,0,0,10918000,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
35,Private,105803,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K,1225,3703105,350,0,0,1750,-1690627079,1058030,0,0,5290150,100,0,0,500,0,0,0,0,0,2500,,,
41,Private,55854,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,56,United-States,>50K,1681,2290014,533,0,0,2296,-1175297980,726102,0,0,3127824,169,0,0,728,0,0,0,0,0,3136,,,
40,Private,257364,Some-college,10,Divorced,Other-service,Not-in-family,White,Male,0,0,45,United-States,<=50K,1600,10294560,400,0,0,1800,1811719056,2573640,0,0,11581380,100,0,0,450,0,0,0,0,0,2025,Divorced,10.82,15.09
37,Private,38948,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,<=50K,1369,1441076,333,0,0,1850,1516946704,350532,0,0,1947400,81,0,0,450,0,0,0,0,0,2500,,,
44,Private,59474,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K,1936,2616856,396,0,0,1760,-757810620,535266,0,0,2378960,81,0,0,360,0,0,0,0,0,1600,,,
44,Private,96249,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,>50K,1936,4234956,440,0,0,2640,673935409,962490,0,0,5774940,100,0,0,600,0,0,0,0,0,3600,,,
50,Private,99392,Some-college,10,Divorced,Craft-repair,Not-in-family,Black,Female,0,0,45,United-States,<=50K,2500,4969600,500,0,0,2250,1288835072,993920,0,0,4472640,100,0,0,450,0,0,0,0,0,2025,Divorced,10.82,15.09
